date,rating,review
2019.06.04. 19:01,"별점(10점 만점 중)
10",또 보고 싶을 정도로 대작임
2019.06.04. 02:11,"별점(10점 만점 중)
10",마블과 동시대를 살아가서 너무행복합니다
2019.06.03. 09:19,"별점(10점 만점 중)
10",3시간이 지루하지 않는 영화였습니다 진짜 잘만들었네요!
2019.06.02. 08:45,"별점(10점 만점 중)
10",감동적이였어요~ 다시한번더보고싶네요
2019.06.02. 08:33,"별점(10점 만점 중)
10",최고영화입니다 강추 3000맘큼 사랑해
2019.05.23. 23:31,"별점(10점 만점 중)
10",마블 3000만큼 사랑합니다
2019.05.22. 18:48,"별점(10점 만점 중)
10",마지막 전투 너무 감동적이고 멋있어서 또 보러간다
2019.05.02. 22:05,"별점(10점 만점 중)
10",I'm Ironman.
2019.10.11. 20:26,"별점(10점 만점 중)
10",좋아하는 오빠가 마블을 좋아해서요. 그래서 오빠랑 이 영화를 같이 공감하며 보고 싶어서 21편 마블 영화를 다 보고 영화관에 갔어요. 좋아했던 오빠는 이제 내 곁에 없지만 마블은 ...
2019.05.19. 12:36,"별점(10점 만점 중)
10",재미도 있고 감동도 있고 많이 슬퍼요 ㅠㅠ
2019.04.24. 15:02,"별점(10점 만점 중)
10",3시간이 1시간같다 근데 너무 기대해서 아쉽더라
2020.02.10. 16:43,"별점(10점 만점 중)
10",와.. 말이 필요없다 이런 영화가 두번 다시 나올까싶다
2019.06.10. 14:10,"별점(10점 만점 중)
10",역시 마블이라는 말밖에 나는 아이언맨도 좋지만 캡아가 왤케 좋은지 ㅋㅋ
2019.11.27. 18:22,"별점(10점 만점 중)
10",대에~~~~박너무재미있었습니다
2019.04.24. 10:51,"별점(10점 만점 중)
10",너무재밌네요^^ 꼭보세요들
2019.07.27. 13:47,"별점(10점 만점 중)
9",어벤져스 마지막 시리즈...아쉽1기 어벤져스 영웅들 정말 사랑합니다.
2019.07.22. 14:39,"별점(10점 만점 중)
10",사랑해 ㅠㅠ 마블.. 3000만큼 진짜류 !!!!
2019.07.01. 15:47,"별점(10점 만점 중)
10",이야기의 끝이자 시작 정말 좋았습니다
2019.06.30. 09:39,"별점(10점 만점 중)
10",3000만큼 사랑합니다 최고
2019.06.28. 14:00,"별점(10점 만점 중)
10",어벤져스 어셈블!!!
2019.06.21. 12:14,"별점(10점 만점 중)
10",러닝타임이 3시간인데 벌써 끝이라느 느낌 아쉬울따름
2019.06.02. 08:25,"별점(10점 만점 중)
10",가오겔3에토르 나올듯
2019.05.23. 00:54,"별점(10점 만점 중)
10",아스가르디언즈오브 갤럭시 기대합니다.
2019.11.25. 17:28,"별점(10점 만점 중)
10",이 영화는 찐 사랑이다 3000만큼
2019.07.27. 16:49,"별점(10점 만점 중)
9",재밌었어요 역시 어벤져스
2019.06.29. 17:10,"별점(10점 만점 중)
10",무슨 말이 필요합니까 2019 최고의 영화 입니다
2019.06.27. 23:49,"별점(10점 만점 중)
10",재밌어요. 다음 시리즈가 궁금합니다
2019.06.19. 09:33,"별점(10점 만점 중)
9",마블 다 봐야되여 ㅠㅠ 다시다시...
2019.06.04. 01:59,"별점(10점 만점 중)
10",재밌어요 마지막이라 아쉬웠어요
2019.06.04. 00:58,"별점(10점 만점 중)
10",겁나 재미있음. 역시 명불허전.
2019.06.04. 00:05,"별점(10점 만점 중)
9",뭔가 대단원이 끝나는 느낌에 섭섭해용
2019.06.03. 11:06,"별점(10점 만점 중)
10",요근래 보기드분 이시대 최고의 SF 명작이라 봅니다.
2019.06.03. 09:24,"별점(10점 만점 중)
10",잊지 않을거예요 정말 너무 시간 가는줄 모르고 봤네요
2019.05.15. 15:24,"별점(10점 만점 중)
10",20편이 넘는 mcu의 잘 찍은 마침표 같다.
2019.05.15. 14:47,"별점(10점 만점 중)
10",역쉬 ! 마블은 영화관에서 봐야 합니당~
2019.05.15. 12:54,"별점(10점 만점 중)
10",어벤져스 어셈블. 정말 3000만큼 사랑한다.
2019.05.04. 21:33,"별점(10점 만점 중)
10",어벤져스 끝이라는게 너무 슬프다
2019.06.23. 12:15,"별점(10점 만점 중)
10",어벤져스는 끝났고 페미니즘은 이제 시작.
2019.06.03. 18:45,"별점(10점 만점 중)
10",영화를 넘어선 예술.지금이라도 3번은 더 볼 수 있을 것 같은 영화임.
2019.04.24. 15:46,"별점(10점 만점 중)
8",마지막이라 아쉬웟지만 충분히 재미있었습니다!!
2019.09.04. 13:54,"별점(10점 만점 중)
10",로다주를 마블에서 못본다는게 믿어지지가 않는다.
2019.07.22. 12:54,"별점(10점 만점 중)
8",얼른 다음편들이 계속 나왔으면 좋겠네요
2019.07.21. 12:49,"별점(10점 만점 중)
10",저희집 수염난 아이가 좋아합니다
2019.06.03. 23:10,"별점(10점 만점 중)
10",영화임을 알면서도 그냥 눈물이 줄줄 흐를줄이야..
2019.05.22. 18:47,"별점(10점 만점 중)
10",평식이형이 7점줬다 그냥보자닥치고 보면됨
2019.05.22. 18:22,"별점(10점 만점 중)
10",한 번더 볼 예정입니다.
2019.05.22. 09:34,"별점(10점 만점 중)
10",굳. 한 번 더 보러 가야 되는데 언제가지...
2019.05.15. 14:57,"별점(10점 만점 중)
10",재밌었다.마지막에 눈물이 났다.다시 볼수 없어서...
2019.05.15. 14:51,"별점(10점 만점 중)
10",어벤져스를 울면서 보게 되다니
2019.05.09. 18:06,"별점(10점 만점 중)
10",2회차관람 부모님하고 갔다옴3회차까지 가고싶을정도였지만 아맥자리가 안남보면볼수록 신기한게 2번보면 눈물이 안날줄 알았음근데 눈시울이 붉어지면서 눈물나는건 어떻게 똑같냐..내용을 알...
2019.05.08. 12:07,"별점(10점 만점 중)
10",3시간을 앉아서 보는데 10살 아들이 전혀 지겨워 하지 않네요
2019.05.06. 11:42,"별점(10점 만점 중)
10",3000만큼 재밌네요
2019.05.03. 21:47,"별점(10점 만점 중)
10","엔드게임 보면서 옆사람, 뒷사람들 다 울었음ㅋㅋㅋ 진짜 강추"
2019.07.09. 16:00,"별점(10점 만점 중)
8",한국인은 다 아이언맨을 엄청 조아하네
2019.05.11. 23:59,"별점(10점 만점 중)
10",이전 시리즈 안봤는데도 꿀잼
2019.04.24. 12:35,"별점(10점 만점 중)
10",오후7시부터 안자고 새벽 알바 갔다가 끝나고 바로 봤는데 한번도 안졸고 끝까지 자리에서 안일어났습니다
2019.04.24. 11:55,"별점(10점 만점 중)
9",재밌게 봤습니다옆에 덕후분께서 혼잣말을 중얼거려서 짜증났지만 영화는 재밌네요
2019.06.24. 00:35,"별점(10점 만점 중)
10",후기 적는게 있는지 몰라서 본지 두달이 지나서 적네요ㅎㅎ 헤어진 그녀와 마지막으로 관람했던 영화 ㅎㅎ 제목처럼 그날이 엔드게임이었어요
2019.06.19. 16:50,"별점(10점 만점 중)
10",Speechless!
